country;year;sex;age;suicides_no;population;suicides/100k pop; gdp_for_year ($) ;gdp_per_capita ($);generation
Albania;1996;male;55-74 years;3;179900;167;3,3148983;1127;Silent
Albania;1996;female;55-74 years;1;183100;55;3,3148983;1127;Silent
Albania;1996;male;5-14 years;2;380400;53;3,3148983;1127;Millenials
Albania;1996;female;5-14 years;1;354100;28;3,3148983;1127;Millenials
Albania;1997;male;25-34 years;36;236000;1525;2,3599031;793;Generation X
Albania;1997;male;15-24 years;33;244400;135;2,3599031;793;Generation X
Albania;1997;male;75+ years;3;25400;1181;2,3599031;793;G.I. Generation
Albania;1997;male;35-54 years;30;380800;788;2,3599031;793;Boomers
Albania;1997;female;15-24 years;21;294000;714;2,3599031;793;Generation X
Albania;1997;male;55-74 years;12;180300;666;2,3599031;793;Silent
Albania;1997;female;25-34 years;16;273900;584;2,3599031;793;Generation X
Albania;1997;female;75+ years;2;42100;475;2,3599031;793;G.I. Generation
Albania;1997;female;35-54 years;7;370100;189;2,3599031;793;Boomers
Albania;1997;female;5-14 years;6;361800;166;2,3599031;793;Millenials
Albania;1997;male;5-14 years;4;381500;105;2,3599031;793;Millenials
Albania;1997;female;55-74 years;0;187000;0;2,3599031;793;Silent
Albania;1998;male;75+ years;3;25800;1163;2,7071238;899;G.I. Generation
Albania;1998;male;15-24 years;27;248800;1085;2,7071238;899;Generation X
Albania;1998;female;15-24 years;32;295600;1083;2,7071238;899;Generation X
Albania;1998;male;25-34 years;26;240400;1082;2,7071238;899;Generation X
Albania;1998;male;35-54 years;29;388200;747;2,7071238;899;Boomers
Albania;1998;male;55-74 years;9;183800;49;2,7071238;899;Silent
Albania;1998;female;25-34 years;10;275300;363;2,7071238;899;Generation X
Albania;1998;female;55-74 years;6;188200;319;2,7071238;899;Silent
Albania;1998;female;35-54 years;9;372100;242;2,7071238;899;Boomers
Albania;1998;male;5-14 years;2;388400;51;2,7071238;899;Millenials
Albania;1998;female;5-14 years;1;363800;27;2,7071238;899;Millenials
Albania;1998;female;75+ years;0;42300;0;2,7071238;899;G.I. Generation
Albania;1999;male;75+ years;3;25900;1158;3,4147609;1127;G.I. Generation
Albania;1999;male;15-24 years;24;250600;958;3,4147609;1127;Generation X
Albania;1999;female;75+ years;4;42400;943;3,4147609;1127;G.I. Generation
Albania;1999;male;35-54 years;31;391100;793;3,4147609;1127;Boomers
Albania;1999;male;25-34 years;19;242300;784;3,4147609;1127;Generation X
Albania;1999;male;55-74 years;14;185200;756;3,4147609;1127;Silent
Albania;1999;female;15-24 years;19;296800;64;3,4147609;1127;Generation X
Albania;1999;female;25-34 years;13;276500;47;3,4147609;1127;Generation X
Albania;1999;female;55-74 years;6;188800;318;3,4147609;1127;Silent
Albania;1999;female;35-54 years;5;373600;134;3,4147609;1127;Boomers
Albania;1999;female;5-14 years;1;365200;27;3,4147609;1127;Millenials
Albania;1999;male;5-14 years;0;391300;0;3,4147609;1127;Millenials
Albania;2000;male;25-34 years;17;232000;733;3,6320439;1299;Generation X
Albania;2000;male;55-74 years;10;177400;564;3,6320439;1299;Silent
Albania;2000;female;75+ years;2;37800;529;3,6320439;1299;G.I. Generation
Albania;2000;male;75+ years;1;24900;402;3,6320439;1299;G.I. Generation
Albania;2000;female;15-24 years;6;263900;227;3,6320439;1299;Generation X
Albania;2000;male;15-24 years;5;240000;208;3,6320439;1299;Generation X
Albania;2000;female;35-54 years;5;332200;151;3,6320439;1299;Boomers
Albania;2000;female;25-34 years;3;245800;122;3,6320439;1299;Generation X
Albania;2000;male;35-54 years;4;374700;107;3,6320439;1299;Boomers
Albania;2000;male;5-14 years;1;374900;27;3,6320439;1299;Millenials
Albania;2000;female;5-14 years;0;324700;0;3,6320439;1299;Millenials
Albania;2000;female;55-74 years;0;168000;0;3,6320439;1299;Silent
Albania;2001;male;25-34 years;22;206484;1065;4,0607588;1451;Generation X
Albania;2001;male;35-54 years;34;378826;898;4,0607588;1451;Boomers
Albania;2001;male;55-74 years;11;196670;559;4,0607588;1451;Silent
Albania;2001;female;75+ years;2;47254;423;4,0607588;1451;Silent
Albania;2001;male;15-24 years;10;256039;391;4,0607588;1451;Millenials
Albania;2001;female;15-24 years;9;271359;332;4,0607588;1451;Millenials
Albania;2001;female;35-54 years;12;370191;324;4,0607588;1451;Boomers
Albania;2001;male;75+ years;1;31044;322;4,0607588;1451;Silent
Albania;2001;female;55-74 years;6;189799;316;4,0607588;1451;Silent
Albania;2001;male;5-14 years;6;321556;187;4,0607588;1451;Millenials
Albania;2001;female;25-34 years;4;222771;18;4,0607588;1451;Generation X
Albania;2001;female;5-14 years;2;307356;65;4,0607588;1451;Millenials
Albania;2002;male;75+ years;4;31007;129;4,4350786;1573;Silent
Albania;2002;male;25-34 years;23;206286;1115;4,4350786;1573;Generation X
Albania;2002;male;35-54 years;35;382139;916;4,4350786;1573;Boomers
Albania;2002;male;55-74 years;13;198130;656;4,4350786;1573;Silent
Albania;2002;male;15-24 years;15;263067;57;4,4350786;1573;Millenials
Albania;2002;female;15-24 years;14;275970;507;4,4350786;1573;Millenials
Albania;2002;female;35-54 years;15;375113;4;4,4350786;1573;Boomers
Albania;2002;female;25-34 years;7;223685;313;4,4350786;1573;Generation X
Albania;2002;female;75+ years;1;47407;211;4,4350786;1573;Silent
Albania;2002;female;55-74 years;4;191712;209;4,4350786;1573;Silent
Albania;2002;female;5-14 years;1;304850;33;4,4350786;1573;Millenials
Albania;2002;male;5-14 years;1;319473;31;4,4350786;1573;Millenials
Albania;2003;female;75+ years;6;49088;1222;5,7469459;2021;Silent
Albania;2003;male;55-74 years;16;201520;794;5,7469459;2021;Silent
Albania;2003;male;35-54 years;28;386196;725;5,7469459;2021;Boomers
Albania;2003;male;15-24 years;15;273235;549;5,7469459;2021;Millenials
Albania;2003;female;15-24 years;14;283709;493;5,7469459;2021;Millenials
Albania;2003;female;55-74 years;9;195699;46;5,7469459;2021;Silent
Albania;2003;male;25-34 years;9;205433;438;5,7469459;2021;Generation X
Albania;2003;female;25-34 years;9;222941;404;5,7469459;2021;Generation X
Albania;2003;female;35-54 years;13;381760;341;5,7469459;2021;Boomers
Albania;2003;male;75+ years;1;32667;306;5,7469459;2021;Silent
Albania;2003;male;5-14 years;4;313204;128;5,7469459;2021;Millenials
Albania;2003;female;5-14 years;0;298477;0;5,7469459;2021;Millenials
Albania;2004;male;75+ years;4;35526;1126;7,3148652;2544;Silent
Albania;2004;male;35-54 years;39;391767;995;7,3148652;2544;Boomers
Albania;2004;male;25-34 years;16;203938;785;7,3148652;2544;Generation X
Albania;2004;female;15-24 years;20;292268;684;7,3148652;2544;Millenials
Albania;2004;male;15-24 years;19;286768;663;7,3148652;2544;Millenials
Albania;2004;female;75+ years;3;50970;589;7,3148652;2544;Silent
Albania;2004;female;25-34 years;11;222389;495;7,3148652;2544;Generation X
Albania;2004;male;55-74 years;10;207202;483;7,3148652;2544;Silent
Albania;2004;female;35-54 years;17;391436;434;7,3148652;2544;Boomers
Albania;2004;female;55-74 years;3;203841;147;7,3148652;2544;Silent
Albania;2004;female;5-14 years;3;286705;105;7,3148652;2544;Millenials
Albania;2004;male;5-14 years;1;302181;33;7,3148652;2544;Millenials
Albania;2005;female;15-24 years;0;281922;0;8,1585487;2931;Millenials
Albania;2005;female;25-34 years;0;190745;0;8,1585487;2931;Generation X
Albania;2005;female;35-54 years;0;386513;0;8,1585487;2931;Boomers
Albania;2005;female;5-14 years;0;276559;0;8,1585487;2931;Millenials
Albania;2005;female;55-74 years;0;210998;0;8,1585487;2931;Silent
Albania;2005;female;75+ years;0;53191;0;8,1585487;2931;Silent
Albania;2005;male;15-24 years;0;281675;0;8,1585487;2931;Millenials
Albania;2005;male;25-34 years;0;177519;0;8,1585487;2931;Generation X
Albania;2005;male;35-54 years;0;380242;0;8,1585487;2931;Boomers
Albania;2005;male;5-14 years;0;291367;0;8,1585487;2931;Millenials
Albania;2005;male;55-74 years;0;214118;0;8,1585487;2931;Silent
Albania;2005;male;75+ years;0;38471;0;8,1585487;2931;Silent
Albania;2006;female;15-24 years;0;283138;0;8,9926423;3235;Millenials
Albania;2006;female;25-34 years;0;186391;0;8,9926423;3235;Generation X
Albania;2006;female;35-54 years;0;388746;0;8,9926423;3235;Boomers
Albania;2006;female;5-14 years;0;267316;0;8,9926423;3235;Millenials
Albania;2006;female;55-74 years;0;215907;0;8,9926423;3235;Silent
Albania;2006;female;75+ years;0;56011;0;8,9926423;3235;Silent
Albania;2006;male;15-24 years;0;286679;0;8,9926423;3235;Millenials
Albania;2006;male;25-34 years;0;174092;0;8,9926423;3235;Generation X
Albania;2006;male;35-54 years;0;379076;0;8,9926423;3235;Boomers
Albania;2006;male;5-14 years;0;282678;0;8,9926423;3235;Millenials
Albania;2006;male;55-74 years;0;219360;0;8,9926423;3235;Silent
Albania;2006;male;75+ years;0;40782;0;8,9926423;3235;Silent
Albania;2007;male;75+ years;8;42366;1888;10,7010119;3863;Silent
Albania;2007;male;35-54 years;29;378626;766;10,7010119;3863;Boomers
Albania;2007;male;55-74 years;14;224160;625;10,7010119;3863;Silent
Albania;2007;female;75+ years;3;57404;523;10,7010119;3863;Silent
Albania;2007;male;25-34 years;9;172494;522;10,7010119;3863;Generation X
Albania;2007;female;15-24 years;13;281080;463;10,7010119;3863;Millenials
Albania;2007;male;15-24 years;13;288349;451;10,7010119;3863;Millenials
Albania;2007;female;25-34 years;8;183629;436;10,7010119;3863;Generation X
Albania;2007;female;55-74 years;9;221120;407;10,7010119;3863;Silent
Albania;2007;female;35-54 years;14;391811;357;10,7010119;3863;Boomers
Albania;2007;male;5-14 years;4;272497;147;10,7010119;3863;Generation Z
Albania;2007;female;5-14 years;0;256808;0;10,7010119;3863;Generation Z
Albania;2008;male;25-34 years;21;172855;1215;12,8813527;4672;Generation X
Albania;2008;male;35-54 years;37;377119;981;12,8813527;4672;Boomers
Albania;2008;male;55-74 years;21;228672;918;12,8813527;4672;Silent
Albania;2008;female;75+ years;5;59369;842;12,8813527;4672;Silent
Albania;2008;female;15-24 years;20;276073;724;12,8813527;4672;Millenials
Albania;2008;female;25-34 years;9;182663;493;12,8813527;4672;Generation X
Albania;2008;female;35-54 years;19;393832;482;12,8813527;4672;Boomers
Albania;2008;male;75+ years;2;44574;449;12,8813527;4672;Silent
Albania;2008;male;15-24 years;11;286702;384;12,8813527;4672;Millenials
Albania;2008;female;55-74 years;7;226448;309;12,8813527;4672;Silent
Albania;2008;male;5-14 years;7;262464;267;12,8813527;4672;Generation Z
Albania;2008;female;5-14 years;1;246288;41;12,8813527;4672;Generation Z
Albania;2009;female;15-24 years;0;270003;0;12,0442129;4387;Millenials
Albania;2009;female;25-34 years;0;182712;0;12,0442129;4387;Generation X
Albania;2009;female;35-54 years;0;394286;0;12,0442129;4387;Boomers
Albania;2009;female;5-14 years;0;236174;0;12,0442129;4387;Generation Z
Albania;2009;female;55-74 years;0;233302;0;12,0442129;4387;Silent
Albania;2009;female;75+ years;0;61582;0;12,0442129;4387;Silent
Albania;2009;male;15-24 years;0;283448;0;12,0442129;4387;Millenials
Albania;2009;male;25-34 years;0;174955;0;12,0442129;4387;Generation X
Albania;2009;male;35-54 years;0;374365;0;12,0442129;4387;Boomers
Albania;2009;male;5-14 years;0;253007;0;12,0442129;4387;Generation Z
Albania;2009;male;55-74 years;0;234570;0;12,0442129;4387;Silent
Albania;2009;male;75+ years;0;47331;0;12,0442129;4387;Silent
Albania;2010;male;55-74 years;20;241852;827;11,9269533;4359;Silent
Albania;2010;male;35-54 years;20;371611;538;11,9269533;4359;Generation X
Albania;2010;male;25-34 years;9;179720;501;11,9269533;4359;Generation X
Albania;2010;male;75+ years;2;50767;394;11,9269533;4359;Silent
Albania;2010;male;15-24 years;10;279508;358;11,9269533;4359;Millenials
Albania;2010;female;25-34 years;6;183579;327;11,9269533;4359;Generation X
Albania;2010;female;75+ years;2;64415;31;11,9269533;4359;Silent
Albania;2010;female;35-54 years;12;394593;304;11,9269533;4359;Generation X
Albania;2010;female;55-74 years;7;241491;29;11,9269533;4359;Silent
Albania;2010;female;15-24 years;6;263581;228;11,9269533;4359;Millenials
Albania;2010;female;5-14 years;2;223969;89;11,9269533;4359;Generation Z
Albania;2010;male;5-14 years;0;240939;0;11,9269533;4359;Generation Z
Antigua and Barbuda;1985;female;15-24 years;0;7709;0;0,2409239;3850;Generation X
Antigua and Barbuda;1985;female;25-34 years;0;6344;0;0,2409239;3850;Boomers
Antigua and Barbuda;1985;female;35-54 years;0;6173;0;0,2409239;3850;Silent
Antigua and Barbuda;1985;female;5-14 years;0;7339;0;0,2409239;3850;Generation X
Antigua and Barbuda;1985;female;55-74 years;0;3778;0;0,2409239;3850;G.I. Generation
Antigua and Barbuda;1985;female;75+ years;0;949;0;0,2409239;3850;G.I. Generation
Antigua and Barbuda;1985;male;15-24 years;0;7667;0;0,2409239;3850;Generation X
Antigua and Barbuda;1985;male;25-34 years;0;6194;0;0,2409239;3850;Boomers
Antigua and Barbuda;1985;male;35-54 years;0;5970;0;0,2409239;3850;Silent
Antigua and Barbuda;1985;male;5-14 years;0;7304;0;0,2409239;3850;Generation X
Antigua and Barbuda;1985;male;55-74 years;0;2723;0;0,2409239;3850;G.I. Generation
Antigua and Barbuda;1985;male;75+ years;0;424;0;0,2409239;3850;G.I. Generation
Antigua and Barbuda;1986;female;15-24 years;0;7668;0;0,2904401;4740;Generation X
Antigua and Barbuda;1986;female;25-34 years;0;6209;0;0,2904401;4740;Boomers
Antigua and Barbuda;1986;female;35-54 years;0;6101;0;0,2904401;4740;Silent
Antigua and Barbuda;1986;female;5-14 years;0;6907;0;0,2904401;4740;Generation X
Antigua and Barbuda;1986;female;55-74 years;0;3764;0;0,2904401;4740;G.I. Generation
Antigua and Barbuda;1986;female;75+ years;0;1014;0;0,2904401;4740;G.I. Generation
Antigua and Barbuda;1986;male;15-24 years;0;7563;0;0,2904401;4740;Generation X
Antigua and Barbuda;1986;male;25-34 years;0;6023;0;0,2904401;4740;Boomers
Antigua and Barbuda;1986;male;35-54 years;0;5947;0;0,2904401;4740;Silent
Antigua and Barbuda;1986;male;5-14 years;0;6827;0;0,2904401;4740;Generation X
Antigua and Barbuda;1986;male;55-74 years;0;2771;0;0,2904401;4740;G.I. Generation
Antigua and Barbuda;1986;male;75+ years;0;476;0;0,2904401;4740;G.I. Generation
Antigua and Barbuda;1987;female;15-24 years;0;7583;0;0,3371749;5595;Generation X
Antigua and Barbuda;1987;female;25-34 years;0;6101;0;0,3371749;5595;Boomers
Antigua and Barbuda;1987;female;35-54 years;0;6059;0;0,3371749;5595;Silent
Antigua and Barbuda;1987;female;5-14 years;0;6623;0;0,3371749;5595;Generation X
Antigua and Barbuda;1987;female;55-74 years;0;3738;0;0,3371749;5595;G.I. Generation
Antigua and Barbuda;1987;female;75+ years;0;1081;0;0,3371749;5595;G.I. Generation
Antigua and Barbuda;1987;male;15-24 years;0;7421;0;0,3371749;5595;Generation X
Antigua and Barbuda;1987;male;25-34 years;0;5893;0;0,3371749;5595;Boomers
Antigua and Barbuda;1987;male;35-54 years;0;5927;0;0,3371749;5595;Silent
Antigua and Barbuda;1987;male;5-14 years;0;6499;0;0,3371749;5595;Generation X
Antigua and Barbuda;1987;male;55-74 years;0;2798;0;0,3371749;5595;G.I. Generation
Antigua and Barbuda;1987;male;75+ years;0;538;0;0,3371749;5595;G.I. Generation
Antigua and Barbuda;1988;female;15-24 years;0;7413;0;0,3986377;6693;Generation X
Antigua and Barbuda;1988;female;25-34 years;0;6041;0;0,3986377;6693;Boomers
Antigua and Barbuda;1988;female;35-54 years;0;6021;0;0,3986377;6693;Silent
Antigua and Barbuda;1988;female;5-14 years;0;6527;0;0,3986377;6693;Generation X
Antigua and Barbuda;1988;female;55-74 years;0;3708;0;0,3986377;6693;G.I. Generation
Antigua and Barbuda;1988;female;75+ years;0;1141;0;0,3986377;6693;G.I. Generation
Antigua and Barbuda;1988;male;15-24 years;0;7209;0;0,3986377;6693;Generation X
Antigua and Barbuda;1988;male;25-34 years;0;5826;0;0,3986377;6693;Boomers
Antigua and Barbuda;1988;male;35-54 years;0;5907;0;0,3986377;6693;Silent
Antigua and Barbuda;1988;male;5-14 years;0;6355;0;0,3986377;6693;Generation X
Antigua and Barbuda;1988;male;55-74 years;0;2813;0;0,3986377;6693;G.I. Generation
Antigua and Barbuda;1988;male;75+ years;0;603;0;0,3986377;6693;G.I. Generation
Antigua and Barbuda;1989;female;15-24 years;0;7152;0;0,4387948;7407;Generation X
Antigua and Barbuda;1989;female;25-34 years;0;6059;0;0,4387948;7407;Boomers
Antigua and Barbuda;1989;female;35-54 years;0;5969;0;0,4387948;7407;Silent
Antigua and Barbuda;1989;female;5-14 years;0;6621;0;0,4387948;7407;Generation X
Antigua and Barbuda;1989;female;55-74 years;0;3696;0;0,4387948;7407;G.I. Generation
Antigua and Barbuda;1989;female;75+ years;0;1195;0;0,4387948;7407;G.I. Generation
Antigua and Barbuda;1989;male;15-24 years;0;6927;0;0,4387948;7407;Generation X
Antigua and Barbuda;1989;male;25-34 years;0;5835;0;0,4387948;7407;Boomers
Antigua and Barbuda;1989;male;35-54 years;0;5862;0;0,4387948;7407;Silent
Antigua and Barbuda;1989;male;5-14 years;0;6403;0;0,4387948;7407;Generation X
Antigua and Barbuda;1989;male;55-74 years;0;2843;0;0,4387948;7407;G.I. Generation
Antigua and Barbuda;1989;male;75+ years;0;676;0;0,4387948;7407;G.I. Generation
Antigua and Barbuda;1990;male;35-54 years;1;5799;1724;0,4594691;7744;Silent
Antigua and Barbuda;1990;female;15-24 years;0;6827;0;0,4594691;7744;Generation X
Antigua and Barbuda;1990;female;25-34 years;0;6172;0;0,4594691;7744;Boomers
Antigua and Barbuda;1990;female;35-54 years;0;5895;0;0,4594691;7744;Silent
Antigua and Barbuda;1990;female;5-14 years;0;6877;0;0,4594691;7744;Generation X
Antigua and Barbuda;1990;female;55-74 years;0;3706;0;0,4594691;7744;G.I. Generation
Antigua and Barbuda;1990;female;75+ years;0;1252;0;0,4594691;7744;G.I. Generation
Antigua and Barbuda;1990;male;15-24 years;0;6598;0;0,4594691;7744;Generation X
Antigua and Barbuda;1990;male;25-34 years;0;5937;0;0,4594691;7744;Boomers
Antigua and Barbuda;1990;male;5-14 years;0;6611;0;0,4594691;7744;Generation X
Antigua and Barbuda;1990;male;55-74 years;0;2902;0;0,4594691;7744;G.I. Generation
Antigua and Barbuda;1990;male;75+ years;0;758;0;0,4594691;7744;G.I. Generation
Antigua and Barbuda;1991;female;15-24 years;0;6595;0;0,4817063;7976;Generation X
Antigua and Barbuda;1991;female;25-34 years;0;6396;0;0,4817063;7976;Boomers
Antigua and Barbuda;1991;female;35-54 years;0;6198;0;0,4817063;7976;Boomers
Antigua and Barbuda;1991;female;5-14 years;0;7089;0;0,4817063;7976;Millenials
Antigua and Barbuda;1991;female;55-74 years;0;3665;0;0,4817063;7976;Silent
Antigua and Barbuda;1991;female;75+ years;0;1293;0;0,4817063;7976;G.I. Generation
Antigua and Barbuda;1991;male;15-24 years;0;6401;0;0,4817063;7976;Generation X
Antigua and Barbuda;1991;male;25-34 years;0;6156;0;0,4817063;7976;Boomers
Antigua and Barbuda;1991;male;35-54 years;0;6122;0;0,4817063;7976;Boomers
Antigua and Barbuda;1991;male;5-14 years;0;6818;0;0,4817063;7976;Millenials
Antigua and Barbuda;1991;male;55-74 years;0;2857;0;0,4817063;7976;Silent
Antigua and Barbuda;1991;male;75+ years;0;804;0;0,4817063;7976;G.I. Generation
Antigua and Barbuda;1992;female;15-24 years;0;6369;0;0,4992811;8087;Generation X
Antigua and Barbuda;1992;female;25-34 years;0;6650;0;0,4992811;8087;Boomers
Antigua and Barbuda;1992;female;35-54 years;0;6534;0;0,4992811;8087;Boomers
Antigua and Barbuda;1992;female;5-14 years;0;7311;0;0,4992811;8087;Millenials
Antigua and Barbuda;1992;female;55-74 years;0;3648;0;0,4992811;8087;Silent
Antigua and Barbuda;1992;female;75+ years;0;1339;0;0,4992811;8087;G.I. Generation
Antigua and Barbuda;1992;male;15-24 years;0;6221;0;0,4992811;8087;Generation X
Antigua and Barbuda;1992;male;25-34 years;0;6409;0;0,4992811;8087;Boomers
Antigua and Barbuda;1992;male;35-54 years;0;6497;0;0,4992811;8087;Boomers
Antigua and Barbuda;1992;male;5-14 years;0;7059;0;0,4992811;8087;Millenials
Antigua and Barbuda;1992;male;55-74 years;0;2851;0;0,4992811;8087;Silent
Antigua and Barbuda;1992;male;75+ years;0;853;0;0,4992811;8087;G.I. Generation
Antigua and Barbuda;1993;male;25-34 years;1;6668;15;0,5351728;8453;Boomers
Antigua and Barbuda;1993;female;15-24 years;0;6182;0;0,5351728;8453;Generation X
Antigua and Barbuda;1993;female;25-34 years;0;6914;0;0,5351728;8453;Boomers
Antigua and Barbuda;1993;female;35-54 years;0;6917;0;0,5351728;8453;Boomers
Antigua and Barbuda;1993;female;5-14 years;0;7529;0;0,5351728;8453;Millenials
Antigua and Barbuda;1993;female;55-74 years;0;3662;0;0,5351728;8453;Silent
Antigua and Barbuda;1993;female;75+ years;0;1386;0;0,5351728;8453;G.I. Generation
